Segment ID,day,Direction,LBoro,12:00-1:00 AM,1:00-2:00AM,2:00-3:00AM,3:00-4:00AM,4:00-5:00AM,5:00-6:00AM,6:00-7:00AM,7:00-8:00AM,8:00-9:00AM,9:00-10:00AM,10:00-11:00AM,11:00-12:00PM,12:00-1:00PM,1:00-2:00PM,2:00-3:00PM,3:00-4:00PM,4:00-5:00PM,5:00-6:00PM,6:00-7:00PM,7:00-8:00PM,8:00-9:00PM,9:00-10:00PM,10:00-11:00PM,11:00-12:00AM,daily_volume
190863,Weekday,WB,2.0,102.8,87.2,63.2,52.0,46.0,71.0,114.8,168.4,187.2,183.6,184.8,178.8,181.6,191.4,211.2,200.8,235.2,236.6,236.4,221.4,200.6,170.4,153.8,124.2,3803.4
190863,Weekend,WB,2.0,141.75,131.0,112.25,104.25,91.5,78.5,82.75,91.75,115.0,130.25,151.0,173.25,185.75,196.5,201.5,211.5,213.0,220.25,220.25,221.25,219.0,214.5,189.25,166.25,3862.25
191010,Weekday,WB,3.0,326.4,224.8,152.6,178.0,242.8,554.4,1281.8,1692.8,1600.4,1329.4,1148.4,1098.2,1075.6,1136.8,1265.2,1250.4,1337.6,1310.2,1218.2,1073.2,875.0,745.6,680.0,559.8,22357.6
191010,Weekend,WB,3.0,693.5,514.25,346.75,266.25,260.25,280.5,467.75,671.5,761.75,928.0,1115.0,1099.25,1100.25,1191.75,1237.5,1303.0,1274.25,1307.25,1248.5,1127.75,1012.75,853.25,762.75,698.5,20522.25
191012,Weekday,EB,3.0,322.8,178.0,137.0,141.0,216.2,342.8,516.8,751.8,841.0,798.8,752.6,810.8,893.4,950.2,1077.0,1342.4,1477.0,1478.6,1296.8,1013.4,854.4,670.8,573.2,463.8,17900.6
191012,Weekend,EB,3.0,566.25,433.25,282.25,286.5,290.5,284.25,299.5,387.75,489.5,577.0,669.0,765.5,825.0,924.0,1021.0,1038.5,1062.5,1034.25,985.25,911.75,809.5,745.5,614.5,559.75,15862.75
191088,Weekday,EB,3.0,148.0,81.0,47.8,37.8,50.8,88.2,147.8,319.6,346.0,272.8,246.4,264.8,303.6,352.0,469.2,728.6,918.0,957.4,845.6,651.2,453.2,335.0,257.2,182.0,8504.0
191088,Weekday,WB,3.0,196.0,132.8,89.2,69.6,72.4,164.2,406.4,694.0,759.6,578.2,548.8,526.8,511.4,535.0,549.6,620.4,639.4,626.8,649.8,618.2,509.4,442.4,392.8,282.6,10615.8
191088,Weekend,EB,3.0,230.25,166.0,103.75,111.0,112.75,100.5,111.5,139.5,200.5,221.25,293.5,329.75,412.25,463.25,486.75,566.75,621.0,565.0,561.5,519.75,486.75,355.75,314.5,254.0,7727.5
191088,Weekend,WB,3.0,418.25,258.25,187.75,172.5,172.0,166.75,159.0,264.25,314.25,386.25,457.25,537.75,539.5,603.75,616.75,607.0,596.5,608.0,591.5,598.25,545.25,504.5,473.25,406.5,10185.0
191098,Weekday,NB,4.0,149.0,100.6,70.0,68.6,89.0,250.4,709.0,1094.6,1116.4,848.6,678.0,726.2,783.6,764.6,793.2,789.0,789.0,845.2,773.2,696.0,562.0,457.6,335.4,258.6,13747.8
191098,Weekend,NB,4.0,289.25,235.0,158.25,123.5,127.0,129.25,191.75,298.0,418.0,578.5,679.25,799.75,882.25,875.0,933.75,945.75,965.0,932.5,886.25,777.25,627.0,516.0,384.25,293.25,13045.75
192292,Weekday,SB,1.0,3156.1666666666665,2315.0,1742.0,1829.1666666666667,2493.3333333333335,3551.5,4737.833333333333,4716.333333333333,3989.3333333333335,3957.8333333333335,3981.6666666666665,4143.5,4434.333333333333,4440.666666666667,4435.166666666667,4927.666666666667,5059.0,4798.333333333333,4505.833333333333,4733.666666666667,4548.166666666667,4348.666666666667,4198.5,4052.8333333333335,95096.5
192292,Weekend,SB,1.0,3893.5,3560.5,3121.5,2827.0,2804.0,2627.5,2979.5,4437.5,5199.0,4988.75,5116.25,5257.5,5378.5,5065.75,5509.5,5347.25,4810.0,4495.25,4045.25,3774.25,3830.75,3829.0,3998.75,4005.5,100902.25
193538,Weekday,NB,1.0,112.8,56.4,38.0,40.2,57.4,126.4,313.8,426.6,386.8,422.8,471.8,527.0,452.0,457.4,462.8,532.0,671.0,726.8,687.6,480.2,339.0,297.2,288.2,205.4,8579.6
193538,Weekday,SB,1.0,267.6,159.6,93.4,86.8,98.8,161.4,414.4,724.2,883.8,807.4,688.4,728.6,733.4,749.8,781.6,788.8,746.0,740.2,844.8,927.0,812.8,684.8,632.2,555.0,14110.8
