,Segment ID,day,LBoro,12:00-1:00 AM,1:00-2:00AM,2:00-3:00AM,3:00-4:00AM,4:00-5:00AM,5:00-6:00AM,6:00-7:00AM,7:00-8:00AM,8:00-9:00AM,9:00-10:00AM,10:00-11:00AM,11:00-12:00PM,12:00-1:00PM,1:00-2:00PM,2:00-3:00PM,3:00-4:00PM,4:00-5:00PM,5:00-6:00PM,6:00-7:00PM,7:00-8:00PM,8:00-9:00PM,9:00-10:00PM,10:00-11:00PM,11:00-12:00AM,daily_volume
36,5520,Weekday,5.0,102.9,58.8,43.7,35.5,53.2,120.4,325.1,718.7,794.1,581.9,563.7,669.4,714.0,754.0,827.9,879.1,907.2,928.1,814.2,661.5,498.8,406.7,272.6,192.9,11924.4
37,5520,Weekend,5.0,186.5,125.0,72.5,57.5,55.0,80.5,110.0,190.0,345.5,501.5,607.5,801.5,,,,,,,,,,,,,
38,6644,Weekday,5.0,55.75,33.25,21.95,19.75,41.15,122.45,223.7,494.8,471.95,436.0,477.15,580.25,600.05,566.95,637.9,679.05,648.1,662.1,629.2,521.55,351.05,254.95,167.35,105.35,8801.75
39,6644,Weekend,5.0,129.8125,73.8125,54.125,38.75,33.1875,39.8125,86.3125,157.9375,258.8125,382.1875,516.625,593.5,689.625,641.9375,651.375,598.125,574.5,542.6875,497.875,385.9375,276.0625,217.75,189.125,146.6875,7776.5625
41,7431,Weekend,5.0,124.75,74.875,44.125,33.375,29.5,57.25,110.5,180.875,274.0,328.875,361.0,394.5,442.375,430.0,473.5,459.75,449.125,428.5,408.875,382.5,276.25,220.625,197.625,161.0,6343.75
40,7431,Weekday,5.0,70.5,35.9,23.2,23.15,39.15,114.25,285.1,502.35,472.2,371.15,359.0,384.05,396.85,402.9,485.4,522.4,523.4,530.7,489.25,396.3,296.95,233.8,168.8,117.3,7244.05
42,7564,Weekday,5.0,78.4,39.2,19.4,22.0,51.0,197.6,619.4,1005.6,931.2,795.6,739.4,843.0,975.0,747.2,952.6,913.0,857.0,960.2,881.6,693.8,662.0,458.0,331.6,287.6,14061.4
43,7564,Weekend,5.0,200.0,127.0,85.75,38.0,48.0,77.5,152.75,246.5,459.25,572.5,701.0,854.75,949.0,872.75,926.5,945.5,932.5,980.0,885.25,715.0,463.25,334.75,254.0,182.75,12004.25
44,7886,Weekday,5.0,11.88888888888889,6.5,4.277777777777778,2.7777777777777777,5.5,13.222222222222221,31.88888888888889,98.05555555555556,85.77777777777777,54.333333333333336,44.333333333333336,44.72222222222222,54.27777777777778,60.05555555555556,81.33333333333333,80.05555555555556,62.72222222222222,59.72222222222222,60.77777777777778,46.22222222222222,35.22222222222222,27.944444444444443,25.833333333333332,18.77777777777778,1016.2222222222222
45,7886,Weekend,5.0,16.88888888888889,9.11111111111111,5.111111111111111,3.888888888888889,4.444444444444445,7.0,12.333333333333334,17.22222222222222,27.333333333333332,36.888888888888886,45.333333333333336,51.111111111111114,50.0,53.666666666666664,58.333333333333336,51.0,49.22222222222222,43.888888888888886,43.888888888888886,37.55555555555556,35.0,27.555555555555557,22.22222222222222,19.77777777777778,728.7777777777778
46,8070,Weekday,5.0,63.2,32.85,22.2,21.6,34.85,99.35,269.75,562.7,528.55,456.85,438.75,492.0,533.85,548.95,651.3,657.4,671.15,665.3,634.1,495.05,363.3,276.4,199.15,134.45,8853.05
47,8070,Weekend,5.0,127.4375,71.5,50.5625,35.0625,32.375,55.4375,105.25,187.125,320.1875,408.6875,481.6875,559.875,648.1875,628.125,615.1875,602.6875,537.5625,477.1875,442.875,363.4375,270.6875,222.1875,192.1875,139.125,7574.625
48,8119,Weekday,5.0,70.27777777777777,37.55555555555556,27.0,21.166666666666668,36.0,84.94444444444444,210.44444444444446,381.0,364.44444444444446,279.55555555555554,268.8333333333333,277.8333333333333,301.6111111111111,317.8888888888889,375.5,412.55555555555554,403.1111111111111,420.94444444444446,403.27777777777777,352.6666666666667,283.44444444444446,222.83333333333334,179.55555555555554,153.33333333333334,5885.777777777777
49,8119,Weekend,5.0,99.9,68.3,47.8,36.4,29.2,47.4,95.3,168.4,198.6,269.4,309.1,318.8,390.9,388.9,372.3,401.3,311.3,263.9,246.4,231.3,195.0,165.7,144.3,120.4,4920.3
51,8152,Weekend,5.0,36.6,21.4,13.9,8.5,8.9,11.8,39.8,80.8,102.5,146.3,191.9,212.2,282.1,243.2,222.0,272.1,192.6,133.0,113.2,110.0,68.2,56.7,54.7,42.3,2664.7
50,8152,Weekday,5.0,23.72222222222222,14.944444444444445,7.777777777777778,6.277777777777778,9.777777777777779,29.0,111.44444444444444,356.8888888888889,309.72222222222223,178.77777777777777,169.27777777777777,203.72222222222223,226.77777777777777,220.55555555555554,280.77777777777777,306.5,279.55555555555554,287.3888888888889,257.77777777777777,201.94444444444446,147.11111111111111,116.38888888888889,70.77777777777777,53.111111111111114,3870.0
52,8288,Weekday,5.0,137.6,73.2,45.4,34.5,65.9,132.0,363.1,650.8,677.2,593.5,617.5,677.3,775.3,788.1,852.1,889.4,945.7,958.0,909.2,773.8,614.8,455.6,343.7,223.9,12597.6
53,8288,Weekend,5.0,204.875,123.25,83.125,54.625,50.75,74.125,122.25,228.625,365.25,528.75,681.0,804.25,899.25,892.125,895.375,862.75,827.25,786.75,748.75,625.25,523.5,405.875,309.5,231.0,11328.25
54,8494,Weekday,5.0,126.45,67.95,46.45,37.7,51.7,112.6,305.3,497.95,576.8,545.7,589.65,661.5,712.05,726.6,717.2,741.15,733.85,747.45,674.6,613.2,488.3,375.55,283.05,200.25,10633.0
55,8494,Weekend,5.0,200.4,142.5,95.3,69.1,64.4,75.9,132.2,236.0,379.7,539.0,663.5,763.3,825.0,824.875,756.125,791.5,738.0,702.875,665.0,612.375,476.25,373.0,297.5,218.0,10677.25
56,9661,Weekday,5.0,51.95,32.3,21.4,22.25,30.95,60.15,142.35,295.55,330.7,247.3,242.7,257.8,290.55,307.95,386.5,415.2,429.95,430.5,354.45,301.7,227.15,175.25,128.2,98.65,5281.45
57,9661,Weekend,5.0,96.4,67.9,44.0,36.8,36.0,38.2,67.8,113.3,168.4,219.8,257.4,282.4,293.875,306.375,293.625,296.75,294.625,280.0,271.25,265.75,212.0,162.0,132.875,105.625,4280.375
58,9788,Weekday,5.0,89.55,45.45,33.15,26.9,37.4,88.75,281.55,485.6,485.25,427.65,424.15,464.35,499.95,521.6,568.55,595.25,568.65,568.65,546.35,498.3,384.65,291.45,217.25,169.45,8319.85
59,9788,Weekend,5.0,163.2,103.8,68.4,50.0,40.6,52.1,105.9,186.5,259.3,373.3,452.0,531.7,558.0,556.0,542.375,557.0,515.0,488.625,470.0,427.25,374.0,269.25,214.375,179.125,7531.375
60,9896,Weekday,5.0,90.0,56.9,35.7,38.7,58.0,132.6,322.0,521.9,464.9,367.2,338.1,350.0,380.0,406.3,468.5,482.0,505.3,509.6,431.6,369.5,291.5,234.4,209.7,148.6,7213.0
61,9896,Weekend,5.0,150.25,105.0,75.875,63.125,52.625,75.25,116.625,162.625,211.125,265.375,310.625,324.25,345.125,365.875,375.5,364.5,337.75,343.625,319.5,305.875,257.5,226.75,204.875,144.5,5504.125
62,9922,Weekday,5.0,74.3,47.9,33.9,32.9,43.3,87.0,220.7,474.7,499.3,320.5,292.5,293.4,322.3,338.4,407.7,425.5,474.5,449.4,367.5,278.5,216.3,183.4,163.4,123.8,6171.1
63,9922,Weekend,5.0,114.5,70.0,62.0,51.5,45.5,53.5,85.5,129.0,180.5,248.5,284.5,313.5,,,,,,,,,,,,,
64,10143,Weekday,5.0,62.6,39.5,34.0,22.0,39.5,65.5,140.1,307.8,346.8,264.5,247.5,258.4,278.9,303.7,351.5,385.2,401.4,379.7,305.3,248.3,205.0,165.2,123.1,93.5,5069.0
65,10143,Weekend,5.0,109.0,79.5,56.0,42.5,45.0,35.5,58.5,96.0,153.0,209.0,253.0,302.0,,,,,,,,,,,,,
66,10164,Weekday,5.0,76.8,49.7,33.2,35.2,61.5,147.7,389.2,594.9,655.2,525.6,453.5,455.4,467.2,476.7,552.0,624.7,632.6,649.3,564.2,398.4,284.1,230.1,185.7,134.8,8677.7
67,10164,Weekend,5.0,101.75,73.5,35.625,50.625,50.125,54.0,77.0,116.75,149.25,210.5,230.75,260.625,288.75,316.625,331.25,336.875,324.625,400.625,392.125,347.25,268.375,219.125,196.25,160.0,4992.375
69,10188,Weekend,5.0,126.5,91.25,64.625,52.375,49.875,49.875,86.125,158.125,198.5,257.375,287.375,335.875,323.625,358.0,347.875,345.375,333.25,325.125,295.5,287.5,243.5,190.625,162.0,143.625,5113.875
68,10188,Weekday,5.0,70.2,43.2,30.2,28.2,47.6,81.8,218.3,439.8,435.4,313.7,307.4,327.4,351.6,374.6,434.5,456.7,491.8,518.0,417.1,377.1,289.7,225.1,177.2,144.8,6601.4
70,10196,Weekday,5.0,71.55,44.2,30.95,39.5,68.95,148.55,387.2,651.4,623.1,458.2,398.2,408.1,434.5,484.3,561.0,652.4,637.4,605.65,456.6,336.7,257.15,209.8,170.45,122.65,8258.5
