,Roadway Name,From,To,day,LBoro,Segment ID,LZip,12:00-1:00 AM,1:00-2:00AM,2:00-3:00AM,3:00-4:00AM,4:00-5:00AM,5:00-6:00AM,6:00-7:00AM,7:00-8:00AM,8:00-9:00AM,9:00-10:00AM,10:00-11:00AM,11:00-12:00PM,12:00-1:00PM,1:00-2:00PM,2:00-3:00PM,3:00-4:00PM,4:00-5:00PM,5:00-6:00PM,6:00-7:00PM,7:00-8:00PM,8:00-9:00PM,9:00-10:00PM,10:00-11:00PM,11:00-12:00AM,daily_volume
3035,Market St,Cherry Street,South Street,Weekend,1,23942,10002,113.25,72.5,48.875,31.375,26.625,25.125,39.75,53.75,67.0,92.0,102.375,103.625,113.75,103.5,106.875,126.75,116.875,105.5,112.5,122.375,119.875,97.0,101.0,111.125,2113.375
2423,Greenwich St,Jay Street,Harrison Street,Weekday,1,31540,10013,125.8,68.0,43.6,44.6,48.2,102.4,211.8,325.2,389.4,410.0,424.2,392.6,370.0,367.2,355.4,390.4,402.2,386.0,383.2,399.4,355.8,292.4,263.4,198.2,6749.4
2424,Greenwich St,Jay Street,Harrison Street,Weekend,1,31540,10013,165.75,113.5,73.5,62.75,54.75,51.25,86.5,131.0,189.75,271.25,327.75,354.75,387.0,342.0,343.0,360.0,356.5,363.75,321.5,382.0,395.75,332.0,228.25,175.5,5869.75
2537,Hudson St,Duane Street,Duane Street,Weekday,1,31548,10013,91.4,55.5,39.2,28.6,41.2,60.7,110.8,156.8,163.8,200.9,186.6,186.1,186.2,183.2,187.8,179.0,187.5,193.5,204.2,209.6,222.6,218.8,192.3,156.2,3642.5
2538,Hudson St,Duane Street,Duane Street,Weekend,1,31548,10013,144.625,85.5,67.625,48.75,32.75,34.5,45.5,77.25,94.0,122.75,151.125,159.5,176.25,168.875,159.75,153.75,144.375,155.625,169.875,168.125,183.5,163.5,148.625,139.25,2995.375
2539,Hudson St,Duane Street,Thomas Street,Weekday,1,31550,10013,93.6,75.0,53.8,37.2,41.2,51.6,127.4,181.4,242.8,277.8,230.2,220.6,234.4,224.4,243.8,253.0,250.2,259.8,257.4,253.0,241.2,239.8,225.6,152.0,4467.2
2540,Hudson St,Duane Street,Thomas Street,Weekend,1,31550,10013,116.5,89.25,77.5,54.0,38.5,34.5,42.0,77.0,109.0,166.25,174.25,197.25,186.25,182.0,186.0,206.25,177.0,202.5,209.5,187.75,234.0,225.0,200.25,173.25,3545.75
4186,W Broadway,Duane Street,Thomas Street,Weekday,1,31559,10013,294.0,263.4,413.2,581.2,639.4,688.2,664.2,681.8,670.4,715.8,728.6,707.0,732.8,738.8,846.8,973.0,1117.8,1171.4,1112.8,1088.4,1108.2,883.6,631.4,472.4,17924.6
4187,W Broadway,Duane Street,Thomas Street,Weekend,1,31559,10013,803.5,429.5,282.5,315.5,393.25,499.5,640.25,698.75,884.75,897.75,731.5,740.5,802.0,812.5,878.0,934.0,1017.0,1041.0,979.5,1030.25,1017.0,894.25,736.5,646.75,18106.0
1536,Church St,8 Avenue Line,8 Avenue Line,Weekday,1,31764,10013,763.6,530.2,421.4,342.4,432.6,644.0,859.4,969.8,1009.2,1086.2,993.4,969.2,910.6,865.4,992.0,1090.2,802.2,862.0,895.8,954.6,967.0,1000.4,992.2,954.8,20308.6
1537,Church St,8 Avenue Line,8 Avenue Line,Weekend,1,31764,10013,854.0,789.25,664.25,545.0,368.5,336.25,372.25,486.0,672.5,814.0,945.75,1005.5,1020.5,976.25,1145.25,1062.0,1015.5,964.0,930.25,968.75,928.75,851.25,745.5,721.25,19182.5
1542,Church St,Thomas Street,Duane Street,Weekday,1,31764,10013,549.4,392.8,239.8,223.6,270.8,454.2,625.0,959.4,1077.0,1193.8,1181.0,1130.6,1054.4,1007.0,1081.2,999.8,885.8,814.6,924.4,932.4,990.0,944.6,884.6,740.0,19556.2
1543,Church St,Thomas Street,Duane Street,Weekend,1,31764,10013,804.25,713.25,637.5,509.25,363.25,299.25,395.5,511.25,662.0,874.0,982.0,1068.0,1027.75,939.5,939.0,1003.75,906.25,942.25,860.25,915.0,885.25,827.25,773.25,716.25,18555.25
1231,Broadway,Catherine Lane,Worth Street,Weekday,1,31783,10013,681.2,495.6,306.2,250.2,286.2,421.2,626.4,758.4,843.6,799.8,832.0,844.0,833.6,852.0,851.6,873.4,936.8,960.0,983.6,1010.8,1011.6,975.8,972.0,881.8,18287.8
1232,Broadway,Catherine Lane,Worth Street,Weekend,1,31783,10013,1012.75,866.25,630.75,476.5,351.25,252.0,303.75,371.75,434.0,535.5,624.0,741.0,822.75,802.5,818.75,898.25,933.25,1008.0,1102.75,1198.25,1097.25,1147.75,1033.5,909.25,18371.75
2535,Hudson St,Charlton Street,Vandam Street,Weekday,1,31890,10013,418.5,299.3333333333333,217.33333333333334,193.0,186.33333333333334,320.6666666666667,571.8333333333334,782.6666666666666,835.3333333333334,976.5,934.1666666666666,790.0,733.5,701.8333333333334,720.5,708.0,725.8333333333334,755.5,754.3333333333334,742.6666666666666,635.8333333333334,606.0,599.1666666666666,524.1666666666666,14733.0
2536,Hudson St,Charlton Street,Vandam Street,Weekend,1,31890,10013,572.75,479.0,428.75,372.0,279.0,197.0,240.25,244.75,406.25,503.5,570.75,620.25,651.75,662.75,656.5,612.0,609.0,633.5,647.25,708.5,664.25,661.25,570.75,524.0,12515.75
2547,Hudson St,Vandam Street,Charlton Street,Weekday,1,31890,10013,408.3,322.5,214.6,191.9,199.5,298.5,409.9,690.0,747.4,723.7,629.9,634.5,712.6,706.1,670.3,649.3,644.1,713.4,671.9,693.5,618.7,651.5,624.5,552.8,13379.4
2548,Hudson St,Vandam Street,Charlton Street,Weekend,1,31890,10013,648.125,590.375,516.5,433.875,329.625,254.125,251.25,305.625,401.375,567.875,673.375,745.625,836.875,849.25,896.75,897.125,770.75,764.375,820.125,837.0,820.25,719.75,636.75,560.75,15127.5
4100,Varick St,Broadway/ 7 Avenue Line,Broadway/ 7 Avenue Line,Weekday,1,31907,10013,1317.4,1114.4,775.8,674.2,519.4,473.2,330.4,421.0,469.6,616.0,753.0,802.2,774.6,977.4,1373.2,1185.0,870.0,1062.4,1180.0,1346.2,1309.6,1406.2,1463.0,1417.0,22631.2
4101,Varick St,Broadway/ 7 Avenue Line,Broadway/ 7 Avenue Line,Weekend,1,31907,10013,1177.0,1142.0,1088.75,933.25,733.75,496.5,535.0,631.0,786.75,944.75,1126.0,1163.25,1263.5,1322.25,1327.75,1357.75,1205.75,1175.0,1194.5,1246.25,1286.5,1231.25,1220.0,1154.0,25742.5
4104,Varick St,Spring Street,Vandam Street,Weekday,1,31907,10013,1348.0,945.0,674.6,554.4,511.8,658.6,1122.4,1464.6,1534.4,1316.2,1237.6,1194.6,1133.2,1407.8,1518.6,1370.4,1358.0,1377.6,1509.6,1588.4,1752.8,1682.0,1685.4,1695.4,30641.4
4105,Varick St,Spring Street,Vandam Street,Weekend,1,31907,10013,1452.0,1416.25,1229.75,1153.25,1016.5,596.0,582.5,748.75,875.75,1038.0,1171.75,1355.5,1453.0,1435.25,1455.75,1402.5,1424.0,1344.0,1416.5,1450.0,1600.0,1603.25,1613.75,1541.25,30375.25
4106,Varick St,Vandam Street,Spring Street,Weekday,1,31907,10013,1092.2,812.2,605.6,487.4,481.4,615.8,1031.2,1246.4,1267.6,1257.0,1304.2,1316.2,1353.0,1401.4,1524.4,1539.8,1392.2,1258.2,1428.4,1573.2,1564.8,1551.6,1492.0,1492.2,29088.4
4107,Varick St,Vandam Street,Spring Street,Weekend,1,31907,10013,1574.0,1407.5,1189.75,1075.0,830.0,556.25,606.0,733.25,926.5,977.25,1124.75,1290.5,1352.0,1392.5,1401.0,1500.0,1532.75,1528.75,1497.5,1533.25,1539.75,1450.5,1428.5,1399.75,29847.0
